Date,Price,Exogenous 1,Exogenous 2
2018-10-01 00:00:00,59.53,11286.25,13421.0
2018-10-01 01:00:00,56.1,10849.0,13028.0
2018-10-01 02:00:00,51.41,10624.0,12553.0
2018-10-01 03:00:00,47.38,10641.25,12530.0
2018-10-01 04:00:00,47.59,10723.25,12508.0
2018-10-01 05:00:00,51.61,11236.75,13601.0
2018-10-01 06:00:00,69.13,12646.0,15417.0
2018-10-01 07:00:00,77.32,14340.5,15558.0
2018-10-01 08:00:00,84.97,15453.75,14917.0
2018-10-01 09:00:00,79.56,15333.0,14025.0
2018-10-01 10:00:00,73.7,14945.5,12981.0
2018-10-01 11:00:00,63.0,14531.75,12551.0
2018-10-01 12:00:00,56.19,14035.25,12229.0
2018-10-01 13:00:00,53.6,14037.75,12309.0
2018-10-01 14:00:00,52.3,14103.75,12217.0
2018-10-01 15:00:00,53.0,14212.25,12319.0
2018-10-01 16:00:00,53.37,14603.75,12583.0
2018-10-01 17:00:00,60.42,15055.75,12990.0
2018-10-01 18:00:00,69.93,15137.25,14175.0
2018-10-01 19:00:00,75.0,15254.5,15861.0
2018-10-01 20:00:00,69.6,15763.5,16275.0
2018-10-01 21:00:00,60.0,15256.5,15697.0
2018-10-01 22:00:00,53.7,14356.25,15939.0
2018-10-01 23:00:00,52.3,13390.25,15274.0
2018-10-02 00:00:00,58.72,11964.75,14215.0
2018-10-02 01:00:00,56.57,11258.5,13915.0
2018-10-02 02:00:00,49.0,10946.75,13783.0
2018-10-02 03:00:00,46.0,10902.5,14009.0
2018-10-02 04:00:00,45.76,10932.5,14145.0
2018-10-02 05:00:00,47.99,11275.25,14885.0
2018-10-02 06:00:00,57.7,12615.5,16025.0
2018-10-02 07:00:00,69.58,14347.0,16932.0
2018-10-02 08:00:00,70.36,15141.75,16335.0
2018-10-02 09:00:00,74.96,15192.5,14628.0
2018-10-02 10:00:00,64.1,14455.75,13349.0
2018-10-02 11:00:00,51.7,13891.0,12970.0
2018-10-02 12:00:00,51.6,13663.0,12869.0
2018-10-02 13:00:00,51.5,13719.0,13228.0
2018-10-02 14:00:00,52.0,13799.25,13589.0
2018-10-02 15:00:00,51.7,13195.75,13563.0
2018-10-02 16:00:00,51.5,14375.75,13967.0
2018-10-02 17:00:00,55.0,14940.0,15096.0
2018-10-02 18:00:00,51.7,14928.0,16457.0
2018-10-02 19:00:00,51.4,14888.25,17963.0
2018-10-02 20:00:00,98.15,15278.0,18350.0
2018-10-02 21:00:00,69.9,14755.75,17349.0
2018-10-02 22:00:00,60.1,13860.25,15970.0
2018-10-02 23:00:00,51.0,13011.0,15267.0
2018-10-03 00:00:00,42.8,12185.5,14586.0
2018-10-03 01:00:00,40.0,11489.25,13728.0
2018-10-03 02:00:00,42.0,11198.75,12935.0
2018-10-03 03:00:00,44.9,11100.0,12909.0
2018-10-03 04:00:00,42.0,11155.75,13192.0
2018-10-03 05:00:00,42.71,11506.75,13577.0
2018-10-03 06:00:00,52.2,12656.5,15057.0
2018-10-03 07:00:00,80.1,14420.25,15779.0
2018-10-03 08:00:00,66.1,15411.5,15611.0
2018-10-03 09:00:00,90.0,15486.0,14879.0
2018-10-03 10:00:00,72.0,14908.0,13403.0
2018-10-03 11:00:00,67.0,14349.0,12839.0
2018-10-03 12:00:00,75.14,13859.75,12488.0
2018-10-03 13:00:00,75.32,13613.25,12467.0
2018-10-03 14:00:00,71.01,13514.0,12692.0
2018-10-03 15:00:00,67.76,13666.25,12843.0
2018-10-03 16:00:00,64.13,14035.0,13110.0
2018-10-03 17:00:00,73.62,14715.25,14042.0
2018-10-03 18:00:00,78.66,14631.0,15197.0
2018-10-03 19:00:00,98.05,14656.25,16530.0
2018-10-03 20:00:00,82.0,15013.25,16762.0
2018-10-03 21:00:00,60.0,14518.75,16678.0
2018-10-03 22:00:00,62.96,13591.25,16463.0
2018-10-03 23:00:00,60.06,12649.0,16133.0
2018-10-04 00:00:00,56.86,11783.0,16540.0
2018-10-04 01:00:00,51.07,11235.25,16083.0
2018-10-04 02:00:00,50.38,10914.0,16044.0
2018-10-04 03:00:00,48.57,10902.0,16032.0
2018-10-04 04:00:00,47.53,10949.5,16283.0
2018-10-04 05:00:00,52.45,11346.0,16940.0
2018-10-04 06:00:00,74.15,12587.5,17241.0
2018-10-04 07:00:00,79.8,14371.0,17493.0
2018-10-04 08:00:00,80.65,15197.25,16230.0
2018-10-04 09:00:00,81.73,15065.75,14863.0
2018-10-04 10:00:00,78.62,14343.25,13294.0
2018-10-04 11:00:00,72.86,13772.75,12812.0
2018-10-04 12:00:00,53.4,13343.25,12390.0
2018-10-04 13:00:00,52.3,13263.0,12141.0
2018-10-04 14:00:00,51.0,13328.25,12205.0
2018-10-04 15:00:00,51.5,13612.0,12206.0
2018-10-04 16:00:00,64.98,14164.0,12536.0
